method,global_epoch,local_epoch,acc
L0,14,14,45.33
L0,15,15,42.27
L0,16,16,46.56
L0,17,17,40.94
L0,18,18,48.63
L0,19,19,49.27
L0,20,20,50.22
L0,21,1,51.39
L0,22,2,50.43
L0,23,3,52.51
L0,24,4,52.18
L0,25,5,53.16
L0,26,6,52.65
L0,27,7,54.72
L0,28,8,54.82
L0,29,9,54.68
L0,30,10,54.40
L0,31,11,55.65
L0,32,12,54.75
L0,33,13,55.88
L0,34,14,57.03
L0,35,15,57.45
L0,36,16,56.08
L0,37,17,57.47
L0,38,18,58.32
L0,39,19,57.70
L0,40,20,58.45
L0,41,1,58.28
L0,42,2,58.91
L0,43,3,58.95
L0,44,4,59.56
L0,45,5,59.90
L0,46,6,59.91
L0,47,7,58.79
L0,48,8,60.18
L0,49,9,59.87
L0,50,10,60.22
L0,51,11,60.78
L0,52,12,60.67
L0,53,13,60.78
L0,54,14,60.59
L0,55,15,61.07
L0,56,16,61.57
L0,57,17,61.44
L0,58,18,61.14
L0,59,19,61.36
L0,60,20,61.85
L0,61,1,62.31
L0,62,2,62.62
L0,63,3,62.52
L0,64,4,62.22
L0,65,5,62.86
L0,66,6,62.32
L0,67,7,62.46
L0,68,8,62.78
L0,69,9,62.96
L0,70,10,62.88
L0,71,11,62.48
L0,72,12,62.74
L0,73,13,63.03
L0,74,14,63.09
L0,75,15,63.10
L0,76,16,62.72
L0,77,17,63.36
L0,78,18,62.59
L0,79,19,62.81
L0,80,20,63.40
L3,1,1,10.25
L3,2,2,14.42
L3,3,3,19.54
L3,4,4,22.60
L3,5,5,27.76
L3,6,6,30.18
L3,7,7,34.14
L3,8,8,36.08
L3,9,9,39.31
L3,10,10,40.37
L3,11,11,41.80
L3,12,12,43.20
L3,13,13,43.88
L3,14,14,45.97
L3,15,15,46.28
L3,16,16,48.01
L3,17,17,49.03
L3,18,18,49.30
L3,19,19,50.92
L3,20,20,52.32
L3,21,1,52.14
L3,22,2,53.13
L3,23,3,53.76
L3,24,4,53.59
L3,25,5,55.23
L3,26,6,55.45
L3,27,7,54.39
L3,28,8,54.97
L3,29,9,56.91
L3,30,10,56.74
L3,31,11,57.27
L3,32,12,58.12
L3,33,13,57.36
L3,34,14,56.40
L3,35,15,59.48
L3,36,16,58.92
L3,37,17,59.13
L3,38,18,60.07
L3,39,19,59.89
L3,40,20,60.75
L3,41,1,60.43
L3,42,2,61.10
L3,43,3,60.98
L3,44,4,61.56
L3,45,5,61.73
L3,46,6,62.48
L3,47,7,61.51
L3,48,8,61.96
L3,49,9,62.74
L3,50,10,61.53
L3,51,11,63.44
L3,52,12,63.11
L3,53,13,62.84
L3,54,14,61.88
L3,55,15,63.41
L3,56,16,64.29
L3,57,17,63.80
L3,58,18,63.90
L3,59,19,64.32
L3,60,20,64.32
L3,61,1,64.43
L3,62,2,64.79
L3,63,3,64.65
L3,64,4,64.66
L3,65,5,64.87
L3,66,6,65.05
L3,67,7,64.64
L3,68,8,65.10
L3,69,9,65.17
L3,70,10,65.08
L3,71,11,65.13
L3,72,12,65.25
L3,73,13,65.16
L3,74,14,65.14
L3,75,15,65.59
L3,76,16,65.19
L3,77,17,65.41
L3,78,18,65.12
L3,79,19,65.50
L3,80,20,65.85
