exp_id,csv_filename,total_time_sec,final_student_acc,num_classes,batch_size,ce_alpha,kd_alpha,use_ib,ib_beta,ib_epochs_per_stage,use_cccp,optimizer,student_lr,student_weight_decay,student_ep10_acc,student_ep10_loss,student_ep1_acc,student_ep1_loss,student_ep2_acc,student_ep2_loss,student_ep3_acc,student_ep3_loss,student_ep4_acc,student_ep4_loss,student_ep5_acc,student_ep5_loss,student_ep6_acc,student_ep6_loss,student_ep7_acc,student_ep7_loss,student_ep8_acc,student_ep8_loss,student_ep9_acc,student_ep9_loss,student_epochs_per_stage,student_epochs_schedule,teacher_ep6_loss,teacher_ep6_synAcc
L3_ib_cccp_tadapt,summary.csv,4983.21,69.16,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,69.16,0.06,67.62,0.08,67.29,0.07,68.19,0.07,68.40,0.07,68.92,0.07,68.57,0.06,68.73,0.06,68.73,0.06,68.75,0.06,"[10, 10, 10, 10]","[10, 10, 10, 10]",0.34,88.00
L3_ib_cccp_tadapt,summary.csv,4529.24,66.11,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,66.11,0.90,65.22,0.75,64.09,0.77,65.00,0.79,65.55,0.81,65.83,0.82,65.86,0.84,65.32,0.85,66.06,0.87,65.79,0.88,"[10, 10, 10, 10]","[10, 10, 10, 10]",0.13,87.44
L3_ib_cccp_tadapt,summary.csv,7553.50,70.76,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,68.68,1.18,69.43,1.14,70.76,1.15,69.01,1.17,70.28,1.16,69.41,1.17,69.77,1.16,69.27,1.17,69.33,1.20,70.29,1.19,68.33,1.11,69.52,1.21,69.27,1.08,69.37,1.08,68.68,1.14,69.28,1.12,69.95,1.09,69.01,1.09,69.40,1.13,69.45,1.15,"[20, 20, 20, 20]","[20, 20, 20, 20]",0.14,87.33
