exp_id,csv_filename,total_time_sec,final_student_acc,num_classes,batch_size,ce_alpha,kd_alpha,use_ib,ib_beta,ib_epochs_per_stage,use_cccp,optimizer,student_lr,student_weight_decay,student_ep10_acc,student_ep10_loss,student_ep1_acc,student_ep1_loss,student_ep2_acc,student_ep2_loss,student_ep3_acc,student_ep3_loss,student_ep4_acc,student_ep4_loss,student_ep5_acc,student_ep5_loss,student_ep6_acc,student_ep6_loss,student_ep7_acc,student_ep7_loss,student_ep8_acc,student_ep8_loss,student_ep9_acc,student_ep9_loss,student_epochs_per_stage,student_epochs_schedule,teacher_ep6_loss,teacher_ep6_synAcc
L2_cccp,summary.csv,4957.74,68.28,100,,0.65,0.35,1,0.00,6,1,adamw,0.00,0.00,68.10,0.55,66.94,0.67,65.96,0.65,67.09,0.63,67.69,0.61,67.36,0.59,68.11,0.58,67.22,0.57,68.28,0.56,67.65,0.56,"[10, 10, 10, 10]","[10, 10, 10, 10]",0.94,87.96
L2_cccp,summary.csv,4801.64,66.00,100,,0.65,0.35,0,0.00,6,1,adamw,0.00,0.00,66.00,0.94,64.63,0.78,64.11,0.81,64.86,0.82,65.29,0.84,65.99,0.85,65.78,0.87,65.45,0.89,65.93,0.90,65.88,0.92,"[10, 10, 10, 10]","[10, 10, 10, 10]",0.15,85.89
L2_cccp,summary.csv,7566.04,74.40,100,,0.65,0.35,0,0.00,6,1,adamw,0.00,0.00,73.75,1.15,73.95,1.11,74.20,1.12,73.85,1.14,74.40,1.13,74.25,1.14,74.27,1.12,74.36,1.13,74.34,1.16,74.02,1.16,72.82,1.07,74.34,1.17,72.72,1.05,73.31,1.05,73.08,1.10,73.44,1.08,73.72,1.05,73.38,1.05,74.31,1.10,73.84,1.11,"[20, 20, 20, 20]","[20, 20, 20, 20]",0.15,88.02
