exp_id,csv_filename,total_time_sec,final_student_acc,num_classes,batch_size,ce_alpha,kd_alpha,use_ib,ib_beta,ib_epochs_per_stage,use_cccp,optimizer,student_lr,student_weight_decay,student_epochs_per_stage,student_epochs_schedule
side_cccp_ppf,summary.csv,26.29,0.00,100,,0.55,0.45,1,0.00,12,1,adamw,0.00,0.00,"[20, 20]","[20, 20]"
side_cccp_ppf,summary.csv,4469.08,66.63,100,,0.65,0.35,0,0.00,6,1,adamw,0.00,0.00,66.27,0.90,65.62,0.76,64.09,0.78,65.12,0.80,65.66,0.81,66.63,0.82,66.37,0.84,65.86,0.85,66.52,0.87,65.91,0.89,"[10, 10, 10, 10]","[10, 10, 10, 10]",0.14,86.73
side_cccp_ppf,summary.csv,7546.81,72.27,100,,0.65,0.35,0,0.00,6,1,adamw,0.00,0.00,71.82,1.20,71.41,1.16,71.86,1.17,71.22,1.19,71.80,1.18,72.27,1.19,71.48,1.18,72.18,1.19,71.35,1.22,71.57,1.21,70.86,1.12,71.77,1.22,70.89,1.10,70.94,1.10,71.25,1.16,70.86,1.13,71.30,1.11,70.52,1.10,72.09,1.15,71.82,1.17,"[20, 20, 20, 20]","[20, 20, 20, 20]",0.16,86.42
