exp_id,csv_filename,total_time_sec,final_student_acc,num_classes,batch_size,ce_alpha,kd_alpha,use_ib,ib_beta,ib_epochs_per_stage,use_cccp,optimizer,student_lr,student_weight_decay,student_epochs_per_stage,student_epochs_schedule
L4_full,summary.csv,27.21,0.00,100,,0.50,0.50,1,0.00,12,1,adamw,0.00,0.00,"[20, 20]","[20, 20]"
L4_full,summary.csv,4059.53,67.73,100,,0.50,0.50,1,0.00,8,1,adamw,0.00,0.00,66.35,0.72,65.81,0.73,66.69,0.74,67.19,0.74,67.05,0.76,67.22,0.80,67.56,0.82,67.01,0.84,67.19,0.87,67.73,0.89,61.14,0.71,67.53,0.91,61.95,0.69,63.40,0.69,63.61,0.70,64.54,0.70,64.27,0.71,65.25,0.72,65.02,0.72,66.10,0.73,"[20, 20]","[20, 20]",0.03,0.85
L4_full,summary.csv,4488.75,68.89,100,,0.70,0.30,1,0.00,12,1,adamw,0.00,0.00,67.68,0.72,67.52,0.70,67.53,0.68,68.19,0.68,68.17,0.68,68.30,0.67,68.69,0.67,68.75,0.67,68.89,0.67,68.78,0.68,62.59,0.88,68.48,0.69,64.95,0.85,64.21,0.83,65.62,0.81,65.92,0.79,66.50,0.77,66.78,0.75,66.70,0.73,67.30,0.72,"[20, 20]","[20, 20]",0.01,1.10
